caseid,barangay_code,barangay,province,municipality,age,gender,hh_size,income,consumption,gps_lat,gps_lon,duration,enumerator,submission_date
I003345,B187,Barangay 187,Agusan del Norte,Agusan Mun 10,31,male,6,9219.44,6025.95,10.967807,123.811331,469,enum_04,2025-10-13
I005405,B300,Barangay 300,Negros Occidental,Negros Mun 8,27,female,6,15289.0,16569.17,7.405614,122.991687,251,enum_15,2025-01-09
I004187,B235,Barangay 235,Agusan del Norte,Agusan Mun 12,36,male,2,14665.68,13187.75,9.697896,123.029409,932,enum_09,2025-06-13
I003484,B195,Barangay 195,Cebu,Cebu Mun 4,41,male,7,11862.05,11270.71,7.223364,123.667361,1042,enum_10,2025-03-29
I000683,B040,Barangay 040,Iloilo,Iloilo Mun 8,43,male,4,12403.04,13461.76,7.092993,123.439483,1099,enum_02,2025-10-09
I003575,B201,Barangay 201,Cebu,Cebu Mun 8,39,female,7,4696.78,4623.64,9.268578,122.950691,941,enum_18,2025-09-19
I006565,B362,Barangay 362,Bukidnon,Bukidnon Mun 11,32,female,5,11145.6,8215.59,7.937056,125.77779,649,enum_16,2025-06-24
I000697,B040,Barangay 040,Iloilo,Iloilo Mun 8,41,female,5,9253.5,8044.62,6.42341,125.017978,1224,enum_03,2025-06-19
I006818,B375,Barangay 375,Cebu,Cebu Mun 13,46,male,4,4344.63,4567.28,10.201561,123.284824,716,enum_05,2025-03-07
I007556,B415,Barangay 415,Agusan del Norte,Agusan Mun 5,55,male,2,8830.99,6327.69,9.319216,125.402706,626,enum_01,2025-09-04
I007890,B434,Barangay 434,Bukidnon,Bukidnon Mun 5,24,female,7,13558.66,13079.93,10.94188,122.176325,1031,enum_16,2025-07-04
I002546,B143,Barangay 143,Leyte,Leyte Mun 4,22,male,6,8511.82,8564.2,9.317506,125.464576,1512,enum_06,2025-03-03
I003497,B196,Barangay 196,Iloilo,Iloilo Mun 7,55,male,3,8887.24,7144.95,11.293002,122.431819,587,enum_06,2025-06-11
I004150,B232,Barangay 232,Iloilo,Iloilo Mun 12,35,male,4,15695.28,15200.2,6.569088,123.404505,879,enum_08,2025-02-04
I004783,B267,Barangay 267,Cebu,Cebu Mun 13,39,male,6,15085.82,12639.51,6.75997,124.952024,1390,enum_19,2025-03-25
I008009,B440,Barangay 440,Bukidnon,Bukidnon Mun 3,24,male,4,17687.69,14751.49,7.451774,123.12521,978,enum_01,2025-03-30
I003784,B214,Barangay 214,Iloilo,Iloilo Mun 1,28,male,8,13861.16,14674.78,9.865159,122.054279,597,enum_11,2025-01-28
I003300,B184,Barangay 184,Iloilo,Iloilo Mun 5,43,male,7,8443.05,6492.53,10.830443,123.853303,748,enum_12,2025-08-15
I006977,B384,Barangay 384,Negros Occidental,Negros Mun 9,36,female,4,11848.53,11964.56,6.278493,123.134355,1129,enum_12,2025-01-05
I002714,B152,Barangay 152,Bukidnon,Bukidnon Mun 5,21,female,7,11350.09,12149.62,10.224913,125.717348,896,enum_20,2025-08-14
I003180,B179,Barangay 179,Leyte,Leyte Mun 3,31,female,5,15348.04,14947.65,6.256411,125.194325,533,enum_18,2025-09-03
I007061,B389,Barangay 389,Leyte,Leyte Mun 18,33,female,3,8292.87,8736.18,9.546356,124.299975,930,enum_03,2025-08-24
I006692,B369,Barangay 369,Cebu,Cebu Mun 9,25,male,5,12356.13,11993.33,7.161054,124.033112,807,enum_07,2025-08-17
I005301,B295,Barangay 295,Agusan del Norte,Agusan Mun 5,32,female,6,9306.53,9815.59,6.358224,124.943812,830,enum_08,2025-10-13
I001198,B068,Barangay 068,Bukidnon,Bukidnon Mun 12,21,female,5,10451.2,8041.73,7.09678,124.543669,1075,enum_01,2025-02-06
I000182,B011,Barangay 011,Leyte,Leyte Mun 9,33,male,3,13319.86,8478.78,8.902167,124.026295,1177,enum_14,2025-06-21
I008054,B442,Barangay 442,Iloilo,Iloilo Mun 2,37,female,6,10575.93,11389.94,6.246624,123.833846,685,enum_17,2025-07-16
I005310,B295,Barangay 295,Agusan del Norte,Agusan Mun 5,33,male,7,11381.55,6884.35,9.529941,125.586926,144,enum_08,2025-02-11
I002185,B120,Barangay 120,Negros Occidental,Negros Mun 5,18,female,3,7092.06,4527.0,11.533493,123.017343,980,enum_14,2025-01-31
I005307,B295,Barangay 295,Agusan del Norte,Agusan Mun 5,25,female,1,8176.97,7384.56,10.498087,123.395801,1248,enum_13,2025-08-11
I001409,B077,Barangay 077,Leyte,Leyte Mun 10,48,female,5,11593.55,9513.39,6.25649,124.46421,865,enum_18,2025-06-30
I004408,B246,Barangay 246,Negros Occidental,Negros Mun 8,18,female,8,12590.07,11718.93,6.69124,125.822969,453,enum_16,2025-07-25
I001406,B077,Barangay 077,Leyte,Leyte Mun 10,31,male,7,7072.33,4847.73,11.138793,125.111644,787,enum_09,2025-04-01
I001777,B097,Barangay 097,Agusan del Norte,Agusan Mun 7,18,male,5,15818.48,11307.72,11.344476,124.08977,1030,enum_20,2025-04-27
I001365,B076,Barangay 076,Iloilo,Iloilo Mun 6,19,female,5,8468.62,7465.97,6.755532,122.206257,1040,enum_13,2025-10-03
I004205,B236,Barangay 236,Bukidnon,Bukidnon Mun 13,41,female,6,25046.67,25912.3,9.531086,122.868017,1163,enum_13,2025-04-08
I003473,B195,Barangay 195,Cebu,Cebu Mun 4,26,female,4,8492.86,6845.14,7.260048,124.679339,786,enum_03,2025-07-27
I000314,B019,Barangay 019,Agusan del Norte,Agusan Mun 6,56,male,7,18250.25,12660.53,11.009753,125.866042,655,enum_16,2025-02-16
I006634,B365,Barangay 365,Leyte,Leyte Mun 2,37,female,6,12891.11,8719.42,8.915731,124.16448,590,enum_03,2025-08-22
I003412,B191,Barangay 191,Leyte,Leyte Mun 15,30,female,3,16489.51,15793.23,11.945469,122.262209,512,enum_19,2025-01-24
I002005,B110,Barangay 110,Bukidnon,Bukidnon Mun 13,23,male,5,5547.24,3935.72,7.740016,124.5246,615,enum_19,2025-08-29
I008143,B447,Barangay 447,Cebu,Cebu Mun 9,18,male,5,18482.23,11363.68,6.541417,124.96772,654,enum_18,2025-04-08
I004501,B251,Barangay 251,Leyte,Leyte Mun 14,40,female,6,13961.97,11162.79,7.475235,125.633302,1229,enum_02,2025-03-21
I003471,B195,Barangay 195,Cebu,Cebu Mun 4,25,male,5,9240.17,7013.68,8.287793,122.858646,525,enum_07,2025-09-27
I004108,B229,Barangay 229,Agusan del Norte,Agusan Mun 12,35,male,3,12337.65,10261.09,9.846533,124.668181,739,enum_04,2025-08-08
I005124,B287,Barangay 287,Leyte,Leyte Mun 19,18,male,6,16406.69,16954.59,8.687652,124.433495,834,enum_17,2025-08-10
I004653,B261,Barangay 261,Cebu,Cebu Mun 6,60,female,5,11395.31,9040.39,11.399887,124.605898,1601,enum_18,2025-02-10
I005968,B329,Barangay 329,Leyte,Leyte Mun 4,30,male,8,13487.19,9452.85,11.672295,123.131776,1057,enum_09,2025-07-15
I002314,B128,Barangay 128,Bukidnon,Bukidnon Mun 14,38,male,4,15390.13,10484.12,9.410603,124.094122,757,enum_02,2025-05-28
I006163,B340,Barangay 340,Iloilo,Iloilo Mun 10,34,male,5,6612.88,4944.05,9.087376,123.528301,416,enum_04,2025-09-14
I004644,B260,Barangay 260,Bukidnon,Bukidnon Mun 9,51,female,3,14176.45,9949.22,11.18689,125.584441,711,enum_05,2025-07-28
I007504,B412,Barangay 412,Iloilo,Iloilo Mun 10,31,male,5,3339.51,2943.63,6.9265,124.129631,1307,enum_16,2025-03-29
I005066,B284,Barangay 284,Bukidnon,Bukidnon Mun 13,35,male,6,2807.79,2873.92,11.173159,124.161763,956,enum_04,2025-05-24
I000284,B017,Barangay 017,Leyte,Leyte Mun 4,50,male,4,12220.9,11699.85,7.953076,123.722761,595,enum_02,2025-10-08
I007634,B420,Barangay 420,Negros Occidental,Negros Mun 3,22,male,3,11319.49,10591.4,9.968331,124.859615,1172,enum_15,2025-05-25
I003432,B192,Barangay 192,Negros Occidental,Negros Mun 9,28,male,6,19432.11,12369.45,10.177153,125.049545,672,enum_14,2025-07-24
I004307,B241,Barangay 241,Agusan del Norte,Agusan Mun 9,38,female,6,18628.04,19103.65,9.204311,125.755401,1164,enum_12,2025-08-27
I000586,B034,Barangay 034,Iloilo,Iloilo Mun 10,29,female,4,6888.84,6967.97,9.4597,125.182975,1079,enum_11,2025-08-08
I003748,B212,Barangay 212,Bukidnon,Bukidnon Mun 14,45,female,8,9460.74,8729.42,10.915164,124.157943,1274,enum_18,2025-02-23
I007345,B403,Barangay 403,Agusan del Norte,Agusan Mun 13,40,female,6,16525.65,12510.34,11.861141,122.121466,760,enum_17,2025-10-01
I006285,B347,Barangay 347,Leyte,Leyte Mun 8,18,male,4,8493.02,8643.93,8.519258,122.925398,1090,enum_16,2025-06-16
I005899,B325,Barangay 325,Agusan del Norte,Agusan Mun 8,33,female,5,15346.1,9477.21,6.681512,123.43151,599,enum_20,2025-05-11
I005365,B298,Barangay 298,Iloilo,Iloilo Mun 12,18,female,2,11765.25,11010.12,6.516508,125.941502,1136,enum_05,2025-03-08
I008180,B449,Barangay 449,Leyte,Leyte Mun 8,18,female,4,14644.78,14760.22,8.161709,121.94995,1075,enum_20,2025-09-02
I003620,B203,Barangay 203,Leyte,Leyte Mun 18,18,male,6,14721.33,10540.77,9.234008,125.785159,662,enum_10,2025-10-13
I002036,B111,Barangay 111,Cebu,Cebu Mun 9,18,male,4,7563.51,7964.12,7.690437,123.803343,539,enum_05,2025-07-03
I006320,B349,Barangay 349,Agusan del Norte,Agusan Mun 9,34,female,7,5823.1,6092.82,6.18308,125.376601,696,enum_14,2025-01-09
I007209,B396,Barangay 396,Negros Occidental,Negros Mun 12,46,male,5,14090.83,8732.77,7.471585,124.177982,876,enum_12,2025-06-14
I006184,B341,Barangay 341,Leyte,Leyte Mun 15,36,male,5,13152.68,13686.5,7.107775,124.131345,944,enum_14,2025-05-11
I001315,B073,Barangay 073,Agusan del Norte,Agusan Mun 4,49,male,7,15693.36,9599.88,11.182122,122.87043,305,enum_12,2025-01-09
I004822,B269,Barangay 269,Leyte,Leyte Mun 10,47,male,6,13230.76,13555.26,6.095627,123.496303,534,enum_04,2025-06-14
I000795,B046,Barangay 046,Iloilo,Iloilo Mun 11,32,female,4,15945.87,15450.0,8.797478,122.691147,636,enum_13,2025-03-14
I005281,B294,Barangay 294,Negros Occidental,Negros Mun 2,38,female,5,11375.89,7351.8,10.039275,125.61017,682,enum_13,2025-03-07
I002165,B119,Barangay 119,Leyte,Leyte Mun 3,48,female,5,9556.65,8897.76,11.20759,122.662688,255,enum_02,2025-06-28
I000321,B020,Barangay 020,Bukidnon,Bukidnon Mun 1,37,female,4,11419.17,8110.33,6.513062,124.753677,1189,enum_12,2025-06-19
I000438,B026,Barangay 026,Bukidnon,Bukidnon Mun 1,18,male,2,17296.1,11695.6,9.922068,125.592858,658,enum_06,2025-02-22
I003868,B217,Barangay 217,Agusan del Norte,Agusan Mun 8,24,female,4,16509.39,13503.57,6.569419,123.527218,1326,enum_11,2025-06-18
I004631,B259,Barangay 259,Agusan del Norte,Agusan Mun 5,36,male,4,12191.05,9103.01,6.066922,124.81058,721,enum_16,2025-02-23
I004215,B237,Barangay 237,Cebu,Cebu Mun 9,36,female,5,17025.34,14426.75,11.77751,122.753593,955,enum_17,2025-07-18
I002895,B163,Barangay 163,Agusan del Norte,Agusan Mun 7,50,male,3,17974.42,16940.07,9.948665,124.793594,735,enum_03,2025-10-22
I002562,B144,Barangay 144,Negros Occidental,Negros Mun 7,46,male,3,9085.03,9628.19,8.412528,125.010062,1425,enum_18,2025-05-18
I005694,B315,Barangay 315,Cebu,Cebu Mun 3,33,male,4,12791.55,12287.55,6.427662,124.955997,978,enum_16,2025-06-02
I003768,B213,Barangay 213,Cebu,Cebu Mun 13,19,male,4,8438.99,6724.22,9.902017,125.990109,741,enum_05,2025-07-05
I005216,B291,Barangay 291,Cebu,Cebu Mun 5,23,male,6,11868.57,13019.84,11.654047,123.561053,1013,enum_16,2025-03-13
I006668,B367,Barangay 367,Agusan del Norte,Agusan Mun 5,44,male,5,15048.49,15480.55,10.818958,125.387067,1187,enum_18,2025-08-30
I005362,B298,Barangay 298,Iloilo,Iloilo Mun 12,33,female,4,8584.68,6634.15,11.337229,123.070001,571,enum_12,2025-05-01
I005793,B320,Barangay 320,Bukidnon,Bukidnon Mun 12,18,female,4,13986.33,13007.5,7.481646,125.44427,1409,enum_08,2025-09-27
I007221,B397,Barangay 397,Agusan del Norte,Agusan Mun 2,33,male,4,9031.23,5825.02,9.501827,122.232242,713,enum_15,2025-05-30
I000758,B044,Barangay 044,Bukidnon,Bukidnon Mun 12,45,female,6,14749.67,9357.13,9.470797,123.726805,214,enum_01,2025-07-06
I006532,B360,Barangay 360,Negros Occidental,Negros Mun 12,34,male,6,11679.37,10402.53,11.677138,123.116372,266,enum_12,2025-03-17
I004375,B244,Barangay 244,Iloilo,Iloilo Mun 3,40,female,5,8583.82,6169.08,8.259492,124.125598,1649,enum_20,2025-08-02
I002884,B162,Barangay 162,Negros Occidental,Negros Mun 14,40,male,4,14318.86,12978.37,9.279034,122.043982,692,enum_05,2025-07-24
I004929,B276,Barangay 276,Negros Occidental,Negros Mun 14,46,male,5,10030.55,9002.78,11.352112,124.96325,965,enum_17,2025-03-16
I000846,B049,Barangay 049,Agusan del Norte,Agusan Mun 1,25,male,6,10397.34,6914.19,10.121177,125.438782,736,enum_13,2025-10-16
I003284,B183,Barangay 183,Cebu,Cebu Mun 9,40,male,5,19457.96,11678.69,8.755941,123.976407,1330,enum_08,2025-06-12
I006160,B339,Barangay 339,Cebu,Cebu Mun 1,24,male,6,12415.91,8536.36,6.504873,122.473379,1006,enum_20,2025-06-09
I001766,B096,Barangay 096,Negros Occidental,Negros Mun 13,57,female,5,16010.04,10875.83,11.859706,124.974863,317,enum_03,2025-06-05
I002645,B148,Barangay 148,Iloilo,Iloilo Mun 4,31,male,5,14463.06,10679.23,11.534957,122.626242,721,enum_01,2025-05-05
I003199,B179,Barangay 179,Leyte,Leyte Mun 3,21,male,5,17518.96,18114.34,6.716684,122.886107,1068,enum_05,2025-02-21
I001362,B076,Barangay 076,Iloilo,Iloilo Mun 6,40,female,4,17063.19,16197.17,10.721097,124.736986,1106,enum_20,2025-09-22
I001617,B088,Barangay 088,Iloilo,Iloilo Mun 12,55,male,4,16551.06,14364.89,8.639881,122.886947,1020,enum_19,2025-03-28
I006115,B336,Barangay 336,Negros Occidental,Negros Mun 1,42,male,5,16059.36,15311.67,8.959409,122.504978,438,enum_13,2025-02-02
I006181,B341,Barangay 341,Leyte,Leyte Mun 15,44,male,6,7144.29,7848.06,9.669932,125.704103,778,enum_13,2025-05-14
I005337,B297,Barangay 297,Cebu,Cebu Mun 13,49,male,7,4359.21,4587.16,6.884599,122.23915,740,enum_16,2025-07-10
I008124,B446,Barangay 446,Bukidnon,Bukidnon Mun 12,55,male,6,16234.53,16497.64,6.604067,123.076911,644,enum_06,2025-06-29
I005795,B320,Barangay 320,Bukidnon,Bukidnon Mun 12,34,male,5,6251.24,6448.28,11.41679,123.12479,876,enum_01,2025-03-06
I005069,B284,Barangay 284,Bukidnon,Bukidnon Mun 13,20,female,6,9042.97,6572.38,11.349942,122.4945,864,enum_17,2025-09-19
I003129,B175,Barangay 175,Agusan del Norte,Agusan Mun 10,29,male,3,18158.89,16964.2,8.861891,122.977173,1340,enum_02,2025-02-06
I004190,B235,Barangay 235,Agusan del Norte,Agusan Mun 12,18,female,2,10450.57,9799.56,10.049532,122.913776,880,enum_13,2025-09-18
I007772,B427,Barangay 427,Agusan del Norte,Agusan Mun 5,55,female,4,19469.27,14457.55,6.84236,122.869653,895,enum_05,2025-03-31
I002821,B158,Barangay 158,Bukidnon,Bukidnon Mun 9,40,female,6,15817.37,14928.7,6.911442,124.046096,881,enum_08,2025-04-07
I004627,B259,Barangay 259,Agusan del Norte,Agusan Mun 5,39,male,5,16653.91,17694.17,8.494129,125.861021,843,enum_01,2025-04-03
I008000,B440,Barangay 440,Bukidnon,Bukidnon Mun 3,60,male,4,6319.0,6623.56,7.430583,122.008118,920,enum_14,2025-08-02
I006511,B359,Barangay 359,Leyte,Leyte Mun 15,43,male,5,7598.57,4834.91,10.50822,124.160798,613,enum_06,2025-10-23
I004054,B227,Barangay 227,Leyte,Leyte Mun 10,33,male,5,6690.88,6822.83,11.595112,122.710133,373,enum_16,2025-03-01
I000458,B027,Barangay 027,Cebu,Cebu Mun 5,22,female,5,4673.55,4460.12,8.326108,123.760441,1175,enum_04,2025-07-02
I003925,B220,Barangay 220,Iloilo,Iloilo Mun 4,45,female,3,13489.47,12916.51,10.322771,124.452058,1539,enum_17,2025-05-18
I006175,B341,Barangay 341,Leyte,Leyte Mun 15,26,female,3,12872.9,11133.9,8.80554,123.689696,829,enum_12,2025-02-04
I004636,B260,Barangay 260,Bukidnon,Bukidnon Mun 9,63,female,2,14629.23,15802.56,8.208588,123.848954,580,enum_15,2025-09-20
I002326,B129,Barangay 129,Cebu,Cebu Mun 10,31,male,5,11129.53,7715.96,11.155956,125.022327,826,enum_15,2025-10-13
I002861,B161,Barangay 161,Leyte,Leyte Mun 15,56,male,6,13211.79,7955.66,8.248526,122.151639,961,enum_05,2025-09-01
I002709,B152,Barangay 152,Bukidnon,Bukidnon Mun 5,46,male,6,13493.86,13810.4,9.653689,123.595782,946,enum_08,2025-05-11
I006391,B353,Barangay 353,Leyte,Leyte Mun 9,18,male,4,8670.27,5521.01,8.324764,124.017371,417,enum_13,2025-01-16
I001309,B072,Barangay 072,Negros Occidental,Negros Mun 7,36,male,5,14088.15,15196.31,6.399899,123.075792,1238,enum_05,2025-05-18
I005225,B291,Barangay 291,Cebu,Cebu Mun 5,38,female,4,14674.74,12421.1,10.664865,125.663592,1103,enum_17,2025-09-21
I004072,B228,Barangay 228,Negros Occidental,Negros Mun 2,51,male,5,10969.88,8515.09,11.869981,122.943054,867,enum_19,2025-09-13
I008081,B444,Barangay 444,Negros Occidental,Negros Mun 6,34,female,5,14566.83,9733.02,9.092605,124.543472,814,enum_05,2025-08-21
I007929,B436,Barangay 436,Iloilo,Iloilo Mun 3,42,female,5,17868.95,13504.55,8.494562,123.227021,365,enum_14,2025-02-16
I007943,B437,Barangay 437,Leyte,Leyte Mun 2,41,female,5,5222.25,5526.2,11.158305,124.379566,1979,enum_05,2025-02-01
I003301,B185,Barangay 185,Leyte,Leyte Mun 10,48,male,4,4873.23,3975.11,7.807879,122.131703,993,enum_05,2025-04-12
I005810,B321,Barangay 321,Cebu,Cebu Mun 7,23,female,3,11972.61,8456.07,7.493421,125.713828,851,enum_06,2025-03-13
I004359,B243,Barangay 243,Cebu,Cebu Mun 1,42,female,7,9929.44,9567.82,9.235567,125.304661,720,enum_15,2025-01-15
I002540,B142,Barangay 142,Iloilo,Iloilo Mun 3,26,male,8,3962.04,3446.73,9.958456,123.575617,1469,enum_18,2025-01-22
I003227,B180,Barangay 180,Negros Occidental,Negros Mun 11,30,female,5,14963.35,15350.95,9.053127,125.426983,704,enum_13,2025-02-21
I002738,B153,Barangay 153,Cebu,Cebu Mun 4,34,female,5,9811.9,8239.3,10.77557,123.482614,1071,enum_08,2025-10-06
I004029,B225,Barangay 225,Cebu,Cebu Mun 7,47,male,1,12626.72,9946.9,6.352106,123.608198,747,enum_18,2025-06-26
I000465,B028,Barangay 028,Iloilo,Iloilo Mun 8,31,male,5,11669.91,11657.35,8.952349,125.549185,621,enum_20,2025-10-23
I005002,B281,Barangay 281,Leyte,Leyte Mun 18,18,male,3,14485.74,13184.56,10.022062,125.126069,859,enum_09,2025-03-16
I007683,B422,Barangay 422,Bukidnon,Bukidnon Mun 1,18,male,5,15685.83,11633.57,9.826695,123.54865,765,enum_14,2025-04-13
I003804,B215,Barangay 215,Leyte,Leyte Mun 16,18,female,4,8564.23,8564.42,11.658158,123.491464,950,enum_12,2025-07-03
I007030,B387,Barangay 387,Cebu,Cebu Mun 13,38,female,3,9741.16,9001.3,11.556234,124.06165,850,enum_13,2025-07-17
I007542,B414,Barangay 414,Negros Occidental,Negros Mun 8,22,male,4,15721.44,11005.8,6.321797,123.366492,1117,enum_11,2025-09-15
I007579,B416,Barangay 416,Bukidnon,Bukidnon Mun 13,22,male,4,5054.29,3651.21,7.247226,122.142634,1177,enum_06,2025-03-03
I006462,B357,Barangay 357,Cebu,Cebu Mun 7,36,female,9,10709.48,7275.84,10.228097,124.516643,556,enum_09,2025-02-08
I002757,B154,Barangay 154,Iloilo,Iloilo Mun 6,62,female,6,16594.07,17065.63,7.917664,122.831217,886,enum_07,2025-10-08
I000318,B019,Barangay 019,Agusan del Norte,Agusan Mun 6,26,female,8,5731.42,4236.31,11.732832,123.73515,726,enum_01,2025-10-04
I001293,B072,Barangay 072,Negros Occidental,Negros Mun 7,22,female,3,5520.32,4599.51,10.004756,124.351376,1480,enum_10,2025-07-20
I004716,B264,Barangay 264,Negros Occidental,Negros Mun 5,18,male,4,9401.08,6464.84,7.343639,122.162634,1310,enum_14,2025-08-18
I000879,B050,Barangay 050,Bukidnon,Bukidnon Mun 8,48,male,2,17511.51,13588.47,9.468968,123.553938,686,enum_18,2025-06-07
I006109,B336,Barangay 336,Negros Occidental,Negros Mun 1,20,female,6,10854.55,10575.56,9.270785,125.990578,659,enum_07,2025-10-13
I005754,B318,Barangay 318,Negros Occidental,Negros Mun 9,31,female,6,10058.79,6986.29,8.510397,122.395423,332,enum_03,2025-07-11
I000209,B013,Barangay 013,Agusan del Norte,Agusan Mun 5,40,male,4,9439.77,8398.28,9.603553,122.229884,668,enum_05,2025-03-06
I006694,B369,Barangay 369,Cebu,Cebu Mun 9,44,female,3,18163.12,18980.25,9.613276,123.249802,1170,enum_05,2025-01-23
I005692,B315,Barangay 315,Cebu,Cebu Mun 3,50,male,5,6755.76,6947.32,11.211589,125.368436,1054,enum_20,2025-10-13
I001857,B101,Barangay 101,Leyte,Leyte Mun 7,30,female,6,14653.83,10342.19,11.160489,125.581201,1110,enum_19,2025-07-17
I008134,B447,Barangay 447,Cebu,Cebu Mun 9,29,female,4,19122.79,19964.62,10.831868,123.000176,772,enum_03,2025-08-29
I004326,B241,Barangay 241,Agusan del Norte,Agusan Mun 9,18,female,6,11622.31,10289.63,6.870198,123.254923,672,enum_17,2025-07-02
I002739,B154,Barangay 154,Iloilo,Iloilo Mun 6,52,male,6,14999.15,11889.83,10.701017,122.562286,770,enum_10,2025-07-16
I004446,B248,Barangay 248,Bukidnon,Bukidnon Mun 5,54,male,6,8268.66,6496.83,11.351801,125.373326,694,enum_09,2025-07-11
I006871,B378,Barangay 378,Negros Occidental,Negros Mun 14,42,male,1,16274.67,12400.49,8.913114,124.707103,941,enum_20,2025-07-26
I007827,B431,Barangay 431,Leyte,Leyte Mun 2,38,male,4,15550.14,14118.67,10.867639,122.677152,1100,enum_11,2025-07-04
I006324,B349,Barangay 349,Agusan del Norte,Agusan Mun 9,22,male,3,16592.04,14120.47,6.017085,125.684561,727,enum_19,2025-05-06
I001400,B077,Barangay 077,Leyte,Leyte Mun 10,49,male,7,14708.97,15888.5,10.720718,125.56362,376,enum_16,2025-09-28
I005287,B294,Barangay 294,Negros Occidental,Negros Mun 2,43,male,7,6275.89,3996.16,10.742598,125.265157,980,enum_08,2025-05-29
I006039,B333,Barangay 333,Cebu,Cebu Mun 11,58,female,4,10989.94,8682.4,8.460515,122.403645,1397,enum_18,2025-07-12
I003525,B198,Barangay 198,Negros Occidental,Negros Mun 4,18,male,6,9089.48,7393.95,7.575812,124.423517,864,enum_07,2025-06-03
I007957,B438,Barangay 438,Negros Occidental,Negros Mun 13,25,male,5,18354.33,17735.37,10.521258,125.120744,929,enum_06,2025-08-16
I004193,B235,Barangay 235,Agusan del Norte,Agusan Mun 12,23,female,5,13886.34,14761.97,9.128965,124.755205,1474,enum_02,2025-07-31
I001944,B108,Barangay 108,Negros Occidental,Negros Mun 6,25,female,5,13240.25,13605.18,7.448049,122.613103,995,enum_08,2025-09-27
I000617,B036,Barangay 036,Negros Occidental,Negros Mun 3,18,male,5,9937.84,10781.87,7.239143,122.485668,988,enum_20,2025-06-23
I003167,B178,Barangay 178,Iloilo,Iloilo Mun 2,22,female,4,21690.35,15119.49,11.922315,124.48267,1073,enum_08,2025-06-04
I005413,B301,Barangay 301,Agusan del Norte,Agusan Mun 9,33,female,5,13107.66,13164.68,8.301464,122.785854,892,enum_01,2025-06-16
I005799,B320,Barangay 320,Bukidnon,Bukidnon Mun 12,46,male,6,16790.68,16319.68,11.475893,125.650425,836,enum_12,2025-07-19
I006209,B342,Barangay 342,Negros Occidental,Negros Mun 8,43,male,4,14286.39,10703.88,6.479706,122.296242,381,enum_10,2025-08-01
I002365,B131,Barangay 131,Leyte,Leyte Mun 8,33,female,6,17610.43,13991.26,10.274562,122.236146,392,enum_18,2025-04-20
I007744,B425,Barangay 425,Leyte,Leyte Mun 13,37,male,1,13373.75,12363.68,10.526588,124.090806,572,enum_01,2025-03-16
I002529,B142,Barangay 142,Iloilo,Iloilo Mun 3,52,female,3,2809.1,2048.12,11.810413,122.798701,799,enum_06,2025-03-23
I002348,B130,Barangay 130,Iloilo,Iloilo Mun 3,22,male,7,16798.07,15319.85,8.625009,123.189539,516,enum_08,2025-03-07
I005127,B287,Barangay 287,Leyte,Leyte Mun 19,36,female,5,4386.08,4011.11,11.69015,123.745962,974,enum_06,2025-07-27
I004898,B274,Barangay 274,Iloilo,Iloilo Mun 8,29,female,3,13547.89,9451.51,8.776317,125.045577,619,enum_10,2025-01-20
I002835,B159,Barangay 159,Cebu,Cebu Mun 11,46,female,3,12266.31,12466.73,10.425356,123.082111,442,enum_07,2025-02-12
I005380,B299,Barangay 299,Leyte,Leyte Mun 3,50,female,3,9561.96,6224.08,6.929662,123.806176,955,enum_07,2025-05-07
I002878,B162,Barangay 162,Negros Occidental,Negros Mun 14,40,male,4,9784.0,7434.45,8.686975,122.080742,1021,enum_16,2025-07-04
I000793,B046,Barangay 046,Iloilo,Iloilo Mun 11,25,male,5,11527.39,8621.6,10.909764,124.023885,879,enum_07,2025-02-19
I007664,B421,Barangay 421,Agusan del Norte,Agusan Mun 4,31,male,3,9140.25,9799.26,11.660491,123.654745,1124,enum_11,2025-01-22
I000309,B019,Barangay 019,Agusan del Norte,Agusan Mun 6,27,male,8,22293.45,14498.25,9.101101,123.712679,629,enum_15,2025-03-03
I004788,B268,Barangay 268,Iloilo,Iloilo Mun 2,47,male,5,12650.96,9632.1,9.032368,125.822891,1155,enum_17,2025-06-02
I000570,B033,Barangay 033,Cebu,Cebu Mun 7,36,male,3,6837.18,5789.44,6.193576,121.985957,120,enum_16,2025-05-29
I007009,B386,Barangay 386,Bukidnon,Bukidnon Mun 8,46,female,4,6135.47,6054.62,9.808937,122.102717,898,enum_16,2025-10-23
I006093,B335,Barangay 335,Leyte,Leyte Mun 1,35,female,5,9637.93,6912.36,7.05139,125.360393,752,enum_12,2025-03-05
I002401,B133,Barangay 133,Agusan del Norte,Agusan Mun 5,34,male,4,12019.24,10535.01,6.450368,122.352929,623,enum_03,2025-02-16
I000348,B021,Barangay 021,Cebu,Cebu Mun 11,41,male,5,13020.53,8096.42,8.434287,123.589026,828,enum_02,2025-07-21
I005387,B299,Barangay 299,Leyte,Leyte Mun 3,26,male,4,15909.14,12378.21,8.782484,123.961623,946,enum_05,2025-05-06
I000375,B023,Barangay 023,Leyte,Leyte Mun 13,21,male,6,18313.27,19007.3,6.571329,124.722241,1186,enum_06,2025-07-20
I000151,B010,Barangay 010,Iloilo,Iloilo Mun 1,28,female,6,13311.95,9845.85,9.008357,123.059444,802,enum_15,2025-09-30
